x, y, z
0.149272, -0.087343, -0.032243
0.149729, -0.086556, -0.031576
0.150183, -0.085766, -0.030909
0.150633, -0.084974, -0.030243
0.151079, -0.084179, -0.029579
0.151959, -0.082578, -0.028258
0.152825, -0.080965, -0.026948
0.153676, -0.079338, -0.025649
0.154512, -0.077698, -0.024360
0.155331, -0.076046, -0.023081
0.156136, -0.074380, -0.021813
0.156924, -0.072703, -0.020556
0.157696, -0.071012, -0.019310
0.158452, -0.069308, -0.018076
0.159192, -0.067592, -0.016853
0.159915, -0.065864, -0.015643
0.160621, -0.064122, -0.014444
0.161310, -0.062369, -0.013257
0.161980, -0.060607, -0.012073
0.162633, -0.058832, -0.010903
0.163269, -0.057044, -0.009747
0.163887, -0.055244, -0.008606
0.164487, -0.053429, -0.007483
0.165070, -0.051601, -0.006377
0.165634, -0.049760, -0.005289
0.166181, -0.047904, -0.004219
0.166708, -0.046035, -0.003168
0.167216, -0.044153, -0.002134
0.167705, -0.042257, -0.001119
0.168175, -0.040348, -0.000124
0.168625, -0.038425, 0.000850
0.169055, -0.036487, 0.001800
0.169464, -0.034534, 0.002727
0.169854, -0.032566, 0.003627
0.170222, -0.030583, 0.004503
0.170569, -0.028586, 0.005357
0.170893, -0.026576, 0.006189
0.171195, -0.024555, 0.007003
0.171475, -0.022523, 0.007800
0.171731, -0.020478, 0.008572
0.171964, -0.018415, 0.009311
0.172175, -0.016331, 0.010005
0.172362, -0.014221, 0.010646
0.172525, -0.012083, 0.011223
0.172663, -0.009914, 0.011735
0.172775, -0.007716, 0.012182
0.172860, -0.005488, 0.012560
0.172917, -0.003224, 0.012857
0.172945, -0.000918, 0.013058
0.172941, 0.001435, 0.013148
0.172927, 0.002640, 0.013128
0.172904, 0.003873, 0.013040
0.172871, 0.005148, 0.012855
0.172826, 0.006489, 0.012515
0.172779, 0.007622, 0.012101
0.172753, 0.008204, 0.011857
0.172723, 0.008815, 0.011544
0.172705, 0.009152, 0.011315
0.172695, 0.009343, 0.011149
0.172689, 0.009453, 0.011030
0.172680, 0.009605, 0.010815
0.172672, 0.009756, 0.010321
0.172672, 0.009760, 0.010171
0.172673, 0.009740, 0.009939
0.172678, 0.009655, 0.009579
0.172691, 0.009414, 0.009025
0.172706, 0.009127, 0.008580
0.172740, 0.008462, 0.007901
0.172782, 0.007553, 0.007232
0.172820, 0.006625, 0.006606
0.172854, 0.005681, 0.006019
0.172883, 0.004718, 0.005477
0.172925, 0.002754, 0.004477
0.172946, 0.000772, 0.003519
0.172943, -0.001224, 0.002595
0.172917, -0.003234, 0.001702
0.172868, -0.005254, 0.000835
0.172794, -0.007283, -0.000009
0.172696, -0.009319, -0.000836
0.172574, -0.011360, -0.001648
0.172427, -0.013403, -0.002450
0.172256, -0.015448, -0.003244
0.172060, -0.017493, -0.004034
0.171841, -0.019536, -0.004822
0.171596, -0.021575, -0.005612
0.171328, -0.023611, -0.006402
0.171036, -0.025644, -0.007193
0.170719, -0.027672, -0.007985
0.170379, -0.029697, -0.008777
0.170014, -0.031717, -0.009568
0.169626, -0.033734, -0.010359
0.169213, -0.035745, -0.011150
0.168777, -0.037752, -0.011941
0.168317, -0.039753, -0.012732
0.167833, -0.041749, -0.013523
0.167325, -0.043739, -0.014314
0.166794, -0.045722, -0.015105
0.166240, -0.047699, -0.015896
0.165662, -0.049670, -0.016687
0.165060, -0.051633, -0.017478
0.164435, -0.053589, -0.018268
0.163788, -0.055538, -0.019059
0.163117, -0.057478, -0.019850
0.162423, -0.059411, -0.020641
0.161706, -0.061335, -0.021432
0.160966, -0.063251, -0.022223
0.160204, -0.065157, -0.023014
0.159419, -0.067055, -0.023805
0.158612, -0.068943, -0.024596
0.157792, -0.070799, -0.025444
0.156942, -0.072664, -0.026244
0.156070, -0.074519, -0.027044
0.155176, -0.076363, -0.027845
0.154260, -0.078196, -0.028645
0.153323, -0.080019, -0.029446
0.152364, -0.081830, -0.030246
0.151383, -0.083629, -0.031046
0.150885, -0.084525, -0.031447
0.150382, -0.085417, -0.031847
0.149873, -0.086307, -0.032247
0.149359, -0.087193, -0.032647
