x, y, z
0.201387, -0.092365, -0.022304
0.201743, -0.091585, -0.021789
0.202096, -0.090804, -0.021274
0.202446, -0.090021, -0.020760
0.202793, -0.089236, -0.020248
0.203479, -0.087661, -0.019231
0.204154, -0.086077, -0.018223
0.204818, -0.084485, -0.017226
0.205471, -0.082885, -0.016237
0.206112, -0.081277, -0.015258
0.206742, -0.079661, -0.014289
0.207360, -0.078038, -0.013330
0.207967, -0.076406, -0.012381
0.208562, -0.074767, -0.011443
0.209145, -0.073119, -0.010516
0.209717, -0.071464, -0.009600
0.210276, -0.069801, -0.008694
0.210824, -0.068130, -0.007800
0.211358, -0.066454, -0.006908
0.211880, -0.064770, -0.006028
0.212390, -0.063077, -0.005162
0.212888, -0.061377, -0.004310
0.213373, -0.059667, -0.003473
0.213846, -0.057949, -0.002652
0.214307, -0.056222, -0.001849
0.214755, -0.054486, -0.001061
0.215190, -0.052741, -0.000291
0.215612, -0.050987, 0.000463
0.216021, -0.049225, 0.001200
0.216417, -0.047453, 0.001919
0.216800, -0.045673, 0.002618
0.217170, -0.043882, 0.003296
0.217526, -0.042082, 0.003952
0.217868, -0.040271, 0.004584
0.218197, -0.038449, 0.005194
0.218512, -0.036619, 0.005783
0.218812, -0.034780, 0.006352
0.219097, -0.032933, 0.006905
0.219368, -0.031079, 0.007442
0.219624, -0.029215, 0.007957
0.219865, -0.027340, 0.008440
0.220092, -0.025449, 0.008884
0.220305, -0.023540, 0.009277
0.220502, -0.021611, 0.009613
0.220685, -0.019661, 0.009888
0.220851, -0.017691, 0.010105
0.221002, -0.015698, 0.010258
0.221136, -0.013680, 0.010337
0.221253, -0.011633, 0.010328
0.221353, -0.009552, 0.010216
0.221396, -0.008492, 0.010101
0.221435, -0.007411, 0.009923
0.221469, -0.006302, 0.009657
0.221499, -0.005146, 0.009248
0.221519, -0.004179, 0.008792
0.221528, -0.003685, 0.008529
0.221536, -0.003170, 0.008204
0.221540, -0.002891, 0.007974
0.221542, -0.002736, 0.007812
0.221543, -0.002648, 0.007698
0.221544, -0.002532, 0.007496
0.221545, -0.002438, 0.007049
0.221545, -0.002446, 0.006916
0.221545, -0.002483, 0.006712
0.221544, -0.002587, 0.006402
0.221540, -0.002845, 0.005932
0.221537, -0.003135, 0.005563
0.221526, -0.003777, 0.005018
0.221510, -0.004634, 0.004502
0.221490, -0.005503, 0.004024
0.221467, -0.006384, 0.003583
0.221439, -0.007278, 0.003183
0.221372, -0.009091, 0.002460
0.221290, -0.010915, 0.001775
0.221192, -0.012748, 0.001121
0.221078, -0.014590, 0.000496
0.220948, -0.016439, -0.000105
0.220802, -0.018293, -0.000686
0.220640, -0.020151, -0.001250
0.220463, -0.022012, -0.001802
0.220269, -0.023874, -0.002343
0.220059, -0.025737, -0.002878
0.219833, -0.027599, -0.003408
0.219591, -0.029460, -0.003938
0.219334, -0.031319, -0.004468
0.219061, -0.033175, -0.004999
0.218772, -0.035028, -0.005531
0.218468, -0.036878, -0.006063
0.218148, -0.038726, -0.006596
0.217812, -0.040572, -0.007128
0.217461, -0.042414, -0.007659
0.217094, -0.044254, -0.008191
0.216712, -0.046090, -0.008722
0.216314, -0.047923, -0.009254
0.215900, -0.049752, -0.009785
0.215471, -0.051578, -0.010317
0.215027, -0.053401, -0.010849
0.214567, -0.055219, -0.011380
0.214092, -0.057034, -0.011912
0.213602, -0.058844, -0.012444
0.213096, -0.060650, -0.012975
0.212575, -0.062452, -0.013507
0.212038, -0.064249, -0.014039
0.211487, -0.066042, -0.014570
0.210920, -0.067830, -0.015102
0.210338, -0.069613, -0.015633
0.209742, -0.071392, -0.016165
0.209130, -0.073165, -0.016697
0.208503, -0.074932, -0.017228
0.207867, -0.076679, -0.017812
0.207211, -0.078433, -0.018352
0.206541, -0.080182, -0.018892
0.205856, -0.081925, -0.019433
0.205156, -0.083662, -0.019973
0.204441, -0.085394, -0.020513
0.203712, -0.087119, -0.021054
0.202968, -0.088838, -0.021594
0.202591, -0.089695, -0.021864
0.202210, -0.090550, -0.022134
0.201826, -0.091404, -0.022404
0.201437, -0.092256, -0.022674
