x, y, z
0.165996, -0.089137, -0.028662
0.166420, -0.088344, -0.028047
0.166840, -0.087548, -0.027433
0.167256, -0.086749, -0.026820
0.167669, -0.085949, -0.026209
0.168485, -0.084339, -0.024994
0.169287, -0.082717, -0.023789
0.170075, -0.081084, -0.022595
0.170849, -0.079440, -0.021410
0.171608, -0.077786, -0.020236
0.172354, -0.076120, -0.019072
0.173085, -0.074443, -0.017919
0.173801, -0.072756, -0.016777
0.174502, -0.071057, -0.015646
0.175189, -0.069347, -0.014527
0.175860, -0.067627, -0.013419
0.176516, -0.065896, -0.012323
0.177156, -0.064154, -0.011239
0.177780, -0.062405, -0.010158
0.178388, -0.060645, -0.009090
0.178980, -0.058874, -0.008035
0.179557, -0.057091, -0.006996
0.180118, -0.055297, -0.005974
0.180662, -0.053490, -0.004969
0.181191, -0.051672, -0.003981
0.181703, -0.049842, -0.003011
0.182198, -0.048000, -0.002060
0.182676, -0.046146, -0.001125
0.183137, -0.044281, -0.000209
0.183581, -0.042404, 0.000687
0.184007, -0.040515, 0.001563
0.184416, -0.038613, 0.002417
0.184806, -0.036697, 0.003246
0.185179, -0.034768, 0.004050
0.185533, -0.032826, 0.004830
0.185868, -0.030871, 0.005588
0.186184, -0.028906, 0.006326
0.186480, -0.026930, 0.007046
0.186756, -0.024945, 0.007748
0.187012, -0.022948, 0.008427
0.187248, -0.020935, 0.009072
0.187464, -0.018903, 0.009675
0.187660, -0.016849, 0.010225
0.187835, -0.014768, 0.010712
0.187989, -0.012661, 0.011136
0.188120, -0.010528, 0.011497
0.188229, -0.008367, 0.011790
0.188313, -0.006174, 0.012003
0.188373, -0.003944, 0.012123
0.188407, -0.001670, 0.012134
0.188414, -0.000509, 0.012075
0.188413, 0.000678, 0.011951
0.188405, 0.001903, 0.011732
0.188388, 0.003186, 0.011360
0.188366, 0.004266, 0.010925
0.188353, 0.004820, 0.010671
0.188337, 0.005401, 0.010349
0.188328, 0.005719, 0.010117
0.188322, 0.005897, 0.009950
0.188319, 0.006000, 0.009832
0.188315, 0.006140, 0.009620
0.188310, 0.006270, 0.009139
0.188310, 0.006269, 0.008994
0.188311, 0.006242, 0.008770
0.188314, 0.006148, 0.008426
0.188322, 0.005898, 0.007899
0.188331, 0.005606, 0.007479
0.188350, 0.004942, 0.006845
0.188371, 0.004043, 0.006230
0.188389, 0.003128, 0.005655
0.188402, 0.002197, 0.005120
0.188410, 0.001250, 0.004628
0.188413, -0.000677, 0.003726
0.188396, -0.002620, 0.002866
0.188359, -0.004576, 0.002039
0.188301, -0.006542, 0.001242
0.188222, -0.008518, 0.000471
0.188122, -0.010502, -0.000279
0.188000, -0.012491, -0.001010
0.187857, -0.014485, -0.001728
0.187692, -0.016480, -0.002436
0.187506, -0.018477, -0.003136
0.187299, -0.020473, -0.003832
0.187070, -0.022468, -0.004526
0.186820, -0.024459, -0.005221
0.186549, -0.026447, -0.005918
0.186257, -0.028432, -0.006615
0.185944, -0.030414, -0.007313
0.185609, -0.032392, -0.008011
0.185254, -0.034367, -0.008708
0.184877, -0.036338, -0.009405
0.184480, -0.038304, -0.010102
0.184062, -0.040267, -0.010799
0.183622, -0.042225, -0.011495
0.183162, -0.044178, -0.012192
0.182681, -0.046126, -0.012889
0.182180, -0.048069, -0.013586
0.181657, -0.050006, -0.014283
0.181115, -0.051938, -0.014980
0.180551, -0.053864, -0.015677
0.179967, -0.055783, -0.016374
0.179363, -0.057697, -0.017071
0.178739, -0.059604, -0.017768
0.178094, -0.061504, -0.018465
0.177429, -0.063397, -0.019162
0.176743, -0.065283, -0.019859
0.176038, -0.067161, -0.020556
0.175313, -0.069032, -0.021253
0.174568, -0.070895, -0.021950
0.173811, -0.072730, -0.022702
0.173028, -0.074574, -0.023408
0.172226, -0.076409, -0.024114
0.171404, -0.078236, -0.024820
0.170562, -0.080053, -0.025527
0.169702, -0.081862, -0.026233
0.168822, -0.083661, -0.026939
0.167923, -0.085451, -0.027645
0.167467, -0.086342, -0.027998
0.167005, -0.087231, -0.028351
0.166539, -0.088118, -0.028704
0.166069, -0.089002, -0.029058
