x, y, z
0.254115, -0.098062, -0.015406
0.254392, -0.097342, -0.015008
0.254666, -0.096622, -0.014610
0.254939, -0.095900, -0.014214
0.255209, -0.095178, -0.013819
0.255745, -0.093729, -0.013034
0.256273, -0.092276, -0.012259
0.256794, -0.090817, -0.011492
0.257307, -0.089353, -0.010733
0.257812, -0.087884, -0.009983
0.258310, -0.086411, -0.009242
0.258799, -0.084932, -0.008509
0.259282, -0.083449, -0.007785
0.259756, -0.081960, -0.007071
0.260222, -0.080467, -0.006366
0.260681, -0.078968, -0.005671
0.261132, -0.077465, -0.004986
0.261575, -0.075957, -0.004310
0.262009, -0.074445, -0.003637
0.262435, -0.072929, -0.002974
0.262853, -0.071407, -0.002323
0.263263, -0.069879, -0.001685
0.263665, -0.068346, -0.001061
0.264060, -0.066807, -0.000450
0.264446, -0.065263, 0.000145
0.264823, -0.063712, 0.000726
0.265193, -0.062155, 0.001292
0.265554, -0.060593, 0.001844
0.265907, -0.059025, 0.002380
0.266252, -0.057451, 0.002901
0.266588, -0.055871, 0.003404
0.266916, -0.054284, 0.003888
0.267235, -0.052690, 0.004353
0.267545, -0.051089, 0.004797
0.267847, -0.049481, 0.005221
0.268141, -0.047867, 0.005626
0.268425, -0.046247, 0.006015
0.268700, -0.044622, 0.006389
0.268965, -0.042991, 0.006749
0.269222, -0.041354, 0.007089
0.269470, -0.039708, 0.007401
0.269708, -0.038052, 0.007678
0.269939, -0.036384, 0.007911
0.270160, -0.034701, 0.008093
0.270373, -0.033004, 0.008222
0.270576, -0.031292, 0.008298
0.270770, -0.029565, 0.008319
0.270955, -0.027820, 0.008274
0.271131, -0.026054, 0.008151
0.271297, -0.024265, 0.007938
0.271376, -0.023356, 0.007778
0.271454, -0.022434, 0.007564
0.271530, -0.021491, 0.007272
0.271606, -0.020516, 0.006853
0.271666, -0.019707, 0.006403
0.271695, -0.019295, 0.006149
0.271725, -0.018868, 0.005838
0.271741, -0.018640, 0.005624
0.271750, -0.018516, 0.005474
0.271754, -0.018446, 0.005371
0.271760, -0.018357, 0.005190
0.271764, -0.018301, 0.004797
0.271763, -0.018315, 0.004682
0.271760, -0.018358, 0.004509
0.271753, -0.018466, 0.004246
0.271736, -0.018715, 0.003854
0.271717, -0.018986, 0.003551
0.271676, -0.019571, 0.003114
0.271619, -0.020340, 0.002716
0.271560, -0.021117, 0.002351
0.271498, -0.021901, 0.002019
0.271432, -0.022695, 0.001722
0.271294, -0.024300, 0.001198
0.271144, -0.025912, 0.000708
0.270985, -0.027530, 0.000245
0.270815, -0.029153, -0.000193
0.270635, -0.030781, -0.000610
0.270444, -0.032412, -0.001008
0.270243, -0.034046, -0.001392
0.270032, -0.035681, -0.001764
0.269811, -0.037317, -0.002128
0.269580, -0.038954, -0.002486
0.269338, -0.040590, -0.002840
0.269087, -0.042224, -0.003193
0.268826, -0.043857, -0.003546
0.268554, -0.045488, -0.003901
0.268273, -0.047117, -0.004256
0.267983, -0.048744, -0.004612
0.267682, -0.050370, -0.004968
0.267371, -0.051994, -0.005323
0.267051, -0.053616, -0.005678
0.266720, -0.055236, -0.006033
0.266380, -0.056853, -0.006388
0.266030, -0.058469, -0.006743
0.265670, -0.060083, -0.007098
0.265301, -0.061694, -0.007453
0.264921, -0.063304, -0.007808
0.264532, -0.064910, -0.008163
0.264133, -0.066515, -0.008518
0.263725, -0.068117, -0.008873
0.263306, -0.069716, -0.009228
0.262878, -0.071313, -0.009583
0.262441, -0.072908, -0.009938
0.261993, -0.074499, -0.010293
0.261536, -0.076088, -0.010648
0.261070, -0.077674, -0.011003
0.260593, -0.079257, -0.011358
0.260108, -0.080838, -0.011713
0.259612, -0.082415, -0.012068
0.259111, -0.083978, -0.012469
0.258597, -0.085547, -0.012832
0.258073, -0.087114, -0.013194
0.257541, -0.088677, -0.013557
0.256998, -0.090236, -0.013920
0.256446, -0.091793, -0.014282
0.255885, -0.093346, -0.014645
0.255315, -0.094895, -0.015008
0.255026, -0.095669, -0.015189
0.254735, -0.096442, -0.015371
0.254441, -0.097213, -0.015552
0.254145, -0.097984, -0.015733
