x, y, z
0.226832, -0.094849, -0.018637
0.227147, -0.094094, -0.018183
0.227458, -0.093338, -0.017729
0.227767, -0.092581, -0.017276
0.228074, -0.091823, -0.016825
0.228681, -0.090301, -0.015929
0.229279, -0.088773, -0.015042
0.229867, -0.087238, -0.014164
0.230446, -0.085697, -0.013295
0.231015, -0.084150, -0.012435
0.231575, -0.082597, -0.011585
0.232126, -0.081037, -0.010743
0.232666, -0.079471, -0.009912
0.233198, -0.077898, -0.009091
0.233719, -0.076320, -0.008279
0.234231, -0.074735, -0.007479
0.234732, -0.073143, -0.006688
0.235224, -0.071546, -0.005908
0.235706, -0.069944, -0.005130
0.236177, -0.068336, -0.004364
0.236638, -0.066722, -0.003611
0.237089, -0.065100, -0.002870
0.237530, -0.063472, -0.002145
0.237961, -0.061836, -0.001435
0.238382, -0.060193, -0.000740
0.238793, -0.058543, -0.000061
0.239193, -0.056886, 0.000602
0.239583, -0.055221, 0.001249
0.239962, -0.053549, 0.001880
0.240330, -0.051870, 0.002495
0.240688, -0.050184, 0.003090
0.241036, -0.048489, 0.003666
0.241372, -0.046786, 0.004221
0.241697, -0.045074, 0.004753
0.242012, -0.043354, 0.005264
0.242315, -0.041626, 0.005755
0.242607, -0.039891, 0.006229
0.242887, -0.038149, 0.006686
0.243155, -0.036401, 0.007128
0.243411, -0.034646, 0.007550
0.243656, -0.032880, 0.007942
0.243889, -0.031101, 0.008296
0.244111, -0.029308, 0.008603
0.244322, -0.027497, 0.008855
0.244521, -0.025669, 0.009050
0.244707, -0.023824, 0.009189
0.244882, -0.021960, 0.009269
0.245043, -0.020074, 0.009279
0.245192, -0.018164, 0.009205
0.245328, -0.016225, 0.009035
0.245392, -0.015239, 0.008894
0.245452, -0.014236, 0.008694
0.245509, -0.013209, 0.008410
0.245564, -0.012143, 0.007991
0.245607, -0.011255, 0.007533
0.245627, -0.010802, 0.007273
0.245647, -0.010331, 0.006952
0.245658, -0.010078, 0.006729
0.245663, -0.009938, 0.006572
0.245667, -0.009860, 0.006463
0.245671, -0.009758, 0.006271
0.245674, -0.009684, 0.005849
0.245673, -0.009696, 0.005725
0.245671, -0.009737, 0.005537
0.245667, -0.009844, 0.005250
0.245657, -0.010099, 0.004819
0.245645, -0.010382, 0.004483
0.245618, -0.010999, 0.003994
0.245580, -0.011815, 0.003539
0.245539, -0.012642, 0.003120
0.245495, -0.013478, 0.002736
0.245447, -0.014325, 0.002390
0.245341, -0.016040, 0.001772
0.245222, -0.017764, 0.001190
0.245090, -0.019496, 0.000637
0.244946, -0.021234, 0.000111
0.244788, -0.022978, -0.000392
0.244618, -0.024726, -0.000875
0.244435, -0.026477, -0.001344
0.244238, -0.028231, -0.001800
0.244029, -0.029985, -0.002246
0.243807, -0.031740, -0.002687
0.243572, -0.033495, -0.003123
0.243325, -0.035248, -0.003558
0.243065, -0.036999, -0.003994
0.242792, -0.038747, -0.004431
0.242507, -0.040494, -0.004868
0.242209, -0.042238, -0.005306
0.241899, -0.043980, -0.005744
0.241576, -0.045720, -0.006182
0.241241, -0.047458, -0.006620
0.240893, -0.049193, -0.007057
0.240532, -0.050926, -0.007494
0.240160, -0.052656, -0.007931
0.239774, -0.054383, -0.008368
0.239377, -0.056107, -0.008806
0.238967, -0.057829, -0.009243
0.238544, -0.059547, -0.009680
0.238110, -0.061263, -0.010118
0.237662, -0.062975, -0.010555
0.237203, -0.064684, -0.010993
0.236731, -0.066390, -0.011430
0.236247, -0.068092, -0.011867
0.235751, -0.069791, -0.012305
0.235243, -0.071486, -0.012742
0.234722, -0.073177, -0.013179
0.234189, -0.074865, -0.013617
0.233644, -0.076549, -0.014054
0.233087, -0.078228, -0.014491
0.232523, -0.079891, -0.014978
0.231942, -0.081560, -0.015423
0.231350, -0.083225, -0.015869
0.230746, -0.084886, -0.016314
0.230130, -0.086543, -0.016760
0.229502, -0.088195, -0.017205
0.228862, -0.089842, -0.017651
0.228210, -0.091485, -0.018096
0.227880, -0.092305, -0.018319
0.227546, -0.093123, -0.018542
0.227210, -0.093940, -0.018765
0.226871, -0.094756, -0.018987
