x, y, z
0.219936, -0.094137, -0.019563
0.220261, -0.093375, -0.019093
0.220583, -0.092611, -0.018624
0.220903, -0.091846, -0.018155
0.221220, -0.091080, -0.017688
0.221847, -0.089542, -0.016761
0.222464, -0.087997, -0.015843
0.223072, -0.086445, -0.014934
0.223669, -0.084886, -0.014035
0.224257, -0.083321, -0.013144
0.224835, -0.081749, -0.012263
0.225402, -0.080171, -0.011392
0.225960, -0.078586, -0.010530
0.226507, -0.076994, -0.009679
0.227045, -0.075395, -0.008838
0.227571, -0.073790, -0.008008
0.228088, -0.072178, -0.007188
0.228594, -0.070559, -0.006378
0.229088, -0.068936, -0.005572
0.229572, -0.067306, -0.004776
0.230046, -0.065670, -0.003994
0.230509, -0.064026, -0.003225
0.230961, -0.062374, -0.002471
0.231403, -0.060715, -0.001733
0.231834, -0.059049, -0.001010
0.232254, -0.057374, -0.000304
0.232663, -0.055692, 0.000386
0.233061, -0.054003, 0.001061
0.233448, -0.052306, 0.001719
0.233823, -0.050601, 0.002360
0.234187, -0.048888, 0.002982
0.234540, -0.047166, 0.003584
0.234881, -0.045436, 0.004164
0.235211, -0.043697, 0.004722
0.235529, -0.041949, 0.005257
0.235835, -0.040192, 0.005773
0.236129, -0.038429, 0.006271
0.236410, -0.036658, 0.006752
0.236679, -0.034881, 0.007218
0.236935, -0.033096, 0.007663
0.237179, -0.031300, 0.008078
0.237411, -0.029490, 0.008454
0.237631, -0.027665, 0.008783
0.237838, -0.025822, 0.009056
0.238033, -0.023961, 0.009271
0.238214, -0.022081, 0.009429
0.238383, -0.020183, 0.009527
0.238538, -0.018261, 0.009554
0.238679, -0.016314, 0.009496
0.238806, -0.014337, 0.009339
0.238864, -0.013331, 0.009204
0.238919, -0.012307, 0.009009
0.238971, -0.011257, 0.008729
0.239019, -0.010168, 0.008312
0.239056, -0.009259, 0.007853
0.239074, -0.008795, 0.007592
0.239091, -0.008312, 0.007269
0.239100, -0.008052, 0.007044
0.239105, -0.007909, 0.006886
0.239107, -0.007828, 0.006775
0.239111, -0.007722, 0.006580
0.239113, -0.007643, 0.006152
0.239113, -0.007654, 0.006025
0.239112, -0.007694, 0.005833
0.239108, -0.007801, 0.005540
0.239100, -0.008057, 0.005099
0.239090, -0.008342, 0.004754
0.239067, -0.008967, 0.004250
0.239035, -0.009795, 0.003779
0.238999, -0.010633, 0.003346
0.238960, -0.011482, 0.002947
0.238917, -0.012342, 0.002587
0.238821, -0.014084, 0.001942
0.238711, -0.015836, 0.001334
0.238588, -0.017596, 0.000756
0.238451, -0.019363, 0.000205
0.238300, -0.021136, -0.000323
0.238136, -0.022913, -0.000831
0.237958, -0.024694, -0.001324
0.237766, -0.026477, -0.001804
0.237560, -0.028261, -0.002274
0.237341, -0.030046, -0.002738
0.237109, -0.031830, -0.003198
0.236863, -0.033612, -0.003657
0.236603, -0.035393, -0.004116
0.236330, -0.037171, -0.004577
0.236044, -0.038947, -0.005039
0.235745, -0.040720, -0.005500
0.235432, -0.042492, -0.005962
0.235106, -0.044261, -0.006424
0.234766, -0.046027, -0.006885
0.234413, -0.047791, -0.007346
0.234047, -0.049552, -0.007807
0.233668, -0.051311, -0.008267
0.233276, -0.053066, -0.008728
0.232870, -0.054819, -0.009189
0.232451, -0.056568, -0.009651
0.232019, -0.058315, -0.010112
0.231574, -0.060058, -0.010573
0.231116, -0.061797, -0.011034
0.230645, -0.063533, -0.011495
0.230161, -0.065266, -0.011956
0.229664, -0.066995, -0.012417
0.229153, -0.068720, -0.012878
0.228630, -0.070441, -0.013339
0.228094, -0.072158, -0.013800
0.227545, -0.073871, -0.014261
0.226983, -0.075580, -0.014722
0.226408, -0.077284, -0.015183
0.225826, -0.078971, -0.015694
0.225226, -0.080664, -0.016164
0.224614, -0.082353, -0.016633
0.223990, -0.084037, -0.017103
0.223352, -0.085717, -0.017572
0.222702, -0.087392, -0.018041
0.222040, -0.089061, -0.018511
0.221365, -0.090726, -0.018980
0.221023, -0.091557, -0.019215
0.220677, -0.092386, -0.019449
0.220329, -0.093214, -0.019684
0.219977, -0.094040, -0.019919
