Experiment,Workload,Status,Run,Devices,Collocation,Architecture,Model,Data,Listeners,Params
2,21,FINISHED (0),92468ac7eb4e4721ae1ebba0a6fd428b,0,-,pytorch,examples/pytorch/cifar10.py,/raid/datasets/imagenet/,smi+top+dcgmi,batch-size=128
2,21,FINISHED (1),1ed064727e674014b60367b1c445d617,1,-,pytorch,examples/pytorch/cifar10.py,/raid/datasets/imagenet/,smi+top+dcgmi,batch-size=128
